st_id,model,r2,rmse,kge,kge_r,r2_val,rmse_val,kge_val,aic,a,z,b,c,k_link,tau_rain,tau_up,d_sin,d_cos,lambda,z0,z1,k_sgd,gamma,h_sea
st1,base,0.5150601553684454,0.7228970018310834,0.5722482278344267,0.7188605758292598,-0.1593116162955643,1.3209236455142457,-0.66521218557916,-1641.434324025458,0.0741337644012056,-0.0529539512554144,0.0012940987130489,2.2760727272751944,0.000125408659353,6.115600944167597,29.999999999999996,-0.0347620114516426,0.0384119241870647,,,,,,
st1,filtered,0.5103740703815541,0.726381364317838,0.5679210762333238,0.7155507109336751,-0.1431272920740389,1.3116710022672564,-0.6646103553182734,-1614.8440665481958,0.072586938595597,0.0509787781265832,0.0013426441118493,2.2760727272751944,0.0023244147892031,5.699161845790902,0.7999999999999999,-0.0360659164268021,0.0376430290295312,1.9717398714321723,,,,,
st1,base_tz,0.5900274409161054,0.664675825267529,0.6341724579220646,0.7700702417975404,0.4238983281626042,0.9311661681240416,0.3237254807133204,-2068.843155452147,0.0638068522498971,,0.0031822707384285,2.2760727272751944,0.0038026770116663,1.3526745594466387,5.035002199789032,-0.0283095150337649,0.0308637648271298,,-4.2991666666666655,-0.2765102584030412,,,
st1,filtered_tz,0.586348044725324,0.6676518086154223,0.6232554465366796,0.7683249069488279,0.4676131642463089,0.8951406398828317,0.4323110317969103,-2043.9971170376723,0.0543140314850946,,0.0031224375542556,2.276072727247845,0.0133571459569249,1.3382050433434356,0.7999999967497979,-0.0298418454237111,0.0297623917475139,1.946678878680842,-4.299166666367228,-0.292810693435857,,,
st10,base,0.7280649946394734,0.3933564279650802,0.764275844286148,0.8542723372399327,-1.9647654984861735,1.1081192861385547,0.5966281569086044,-4753.562145333088,0.0031034770092021,13.330416666666668,0.0029099698390575,0.1223855670522537,2.6046911831152116e-17,0.1000064146938413,5.623183556487242,-0.0001799055806881,0.0054705924889542,,,,,,
st10,filtered,0.7280649946595482,0.393356427950561,0.764275883033523,0.8542723358238935,-1.9647656620377347,1.1081193167033057,0.5966281642232385,-4751.562145521851,0.0031034773125962,13.330416666666732,0.0029099701626414,0.1223855670522537,1.1425030296676947e-14,0.1000049577445108,0.0139499941262067,-0.0001799058852515,0.0054705936135769,1.2844389385054265,,,,,
st10,base_tz,0.6644690819651866,0.4369381502338602,0.611649740855371,0.8374088640660172,-3.74283914764605,1.4015562664550785,0.5173250325671965,-4214.205986170899,0.3856620356371145,,0.0013734577956767,0.1223855670215724,0.1962653577779504,29.999999939411115,0.1000000001785458,-0.0862573410953232,0.0779565716675197,,13.330416666707674,0.0865163241608537,,,
st10,filtered_tz,0.6659187022307435,0.4359932596576442,0.6121771436969132,0.8385100446569533,-3.7313504882380206,1.3998577305200484,0.5143196620238099,-4223.277124725981,0.4672764304082682,,0.0019893040519622,0.1223825317861516,0.2356516140444031,26.301141815894336,0.0109782065272779,-0.1095288315179187,0.0969719862448114,0.1260955981244634,13.33041675746379,0.0859591982862377,,,
st11,base,0.5301146222572624,1.5363107496274742,0.6079998113210316,0.7281688426436203,-1.6428444214982951,2.47985708160168,0.5817733548466255,2219.8693935687675,0.2701959531348755,-15.589583332757572,0.0113058830320087,9.462283876928471e-15,0.6274333914670095,29.999999999998735,1.146717501421349,0.0575970562892022,-0.0129933048760185,,,,0.4999999999667996,0.4151359033821439,-17.866581189496376
st11,filtered,0.5226278798914303,1.5485014978021745,0.5822541058469688,0.7239226181948233,-1.5550394012444877,2.438314124083745,0.5895511782111669,2262.2892348502105,1.1975465671673298e-11,-0.9995927995044748,0.0087476817329083,1.7399688638577782e-10,0.4481548044132141,29.99999999999982,0.7999999999891537,0.0742257994044041,0.1017728129496583,1.9423472631514904,,,0.499999999961682,0.4151359033102939,-17.86658118883524
